date,areaName,areaCode,hospitalCases,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPillarTwoTestsByPublishDate,newDeaths28DaysByPublishDate,newPillarOneTestsByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesPCROnlyBySpecimenDate,newPCRTestsByPublishDate,newLFDTests,newCasesLFDOnlyBySpecimenDate,cumPeopleVaccinatedSecondDoseByPublishDate,newCasesByPublishDate
2021-12-01,England,E92000001,5829,,,,,141,,,,,,,,41519
2021-11-30,England,E92000001,6123,,9696,27,833636,143,80183,146,1459,375784,538035,8091,38909382,33590
2021-11-29,England,E92000001,6094,669,39448,68,864358,21,75309,3046,29508,230727,761748,6894,38881449,34906
2021-11-28,England,E92000001,5890,607,31611,69,856023,40,57408,5961,22010,269068,718965,3640,38858848,32136
2021-11-27,England,E92000001,5852,609,26795,60,612012,112,56328,4136,20825,332966,366477,1834,38836366,35798
2021-11-26,England,E92000001,5992,620,32626,82,724480,125,71256,4693,26553,344583,480285,1380,38805750,42272
2021-11-25,England,E92000001,6068,650,36089,101,868365,113,72884,5474,29404,391613,591484,1211,38783827,40382
2021-11-24,England,E92000001,6062,752,38809,82,911754,129,72292,6555,31113,363014,681587,1141,38764212,36511
2021-11-23,England,E92000001,6257,659,39965,109,735461,140,81230,6439,32592,354385,500866,934,38744164,36550
2021-11-22,England,E92000001,6424,602,41821,85,837375,34,75059,7162,33545,273436,687277,1114,38725602,36478
2021-11-21,England,E92000001,6322,648,30996,85,846969,47,56469,7664,22337,313259,659472,995,38710035,33513
2021-11-20,England,E92000001,6191,611,29162,97,601980,133,62255,5269,23154,340399,353207,739,38698795,36339
2021-11-19,England,E92000001,6310,637,32437,103,702743,123,73297,5178,26383,341853,462554,876,38677203,37006
2021-11-18,England,E92000001,6336,697,36205,105,816673,144,78075,5893,29222,351471,585055,1090,38658480,39315
2021-11-17,England,E92000001,6412,727,37391,98,868492,159,75576,6703,29663,355078,649152,1025,38641051,30638
2021-11-16,England,E92000001,6623,713,37624,128,644805,190,71274,6307,30379,279219,473776,938,38622540,30853
2021-11-15,England,E92000001,6864,695,41506,133,781324,29,68473,7087,33332,219207,678664,1087,38605643,31440
2021-11-14,England,E92000001,6707,678,28908,99,769433,51,58232,7333,20518,246668,652368,1057,38590118,29404
2021-11-13,England,E92000001,6639,655,26799,111,548317,141,59962,4708,21354,296110,339500,737,38578159,33493
2021-11-12,England,E92000001,6777,729,30558,116,674320,122,66869,4858,24895,306700,462426,805,38555353,33155
2021-11-11,England,E92000001,6861,797,32898,121,811211,151,68429,5420,26428,337499,584163,1050,38536124,35472
2021-11-10,England,E92000001,6961,821,34558,119,847205,170,80943,6086,27383,337428,650795,1089,38516564,31541
2021-11-09,England,E92000001,7053,808,33884,121,670138,230,86353,5773,27262,325441,466116,849,38472568,27872
2021-11-08,England,E92000001,7075,850,35282,125,788631,32,71748,5952,28285,227118,680677,1045,38454360,24979
2021-11-07,England,E92000001,6910,739,24878,133,730324,47,61448,6101,17876,185707,679829,901,38436962,23779
2021-11-06,England,E92000001,6874,688,22053,137,533830,125,64822,3894,17524,286894,339257,635,38425760,26250
2021-11-05,England,E92000001,7072,686,23824,123,663001,151,70142,3607,19563,321985,439188,654,38402891,28490
2021-11-04,England,E92000001,7201,717,26062,120,768946,152,67843,4118,20980,298778,579533,964,38383854,30166
2021-11-03,England,E92000001,7291,807,28413,128,818465,181,75894,4724,22738,305769,651775,951,38366687,34317
2021-11-02,England,E92000001,7510,891,30403,127,689249,255,81788,4646,24835,333292,475888,922,38349313,28531
2021-11-01,England,E92000001,7535,899,36736,136,779256,13,70460,5956,29709,191194,711753,1071,38331506,32081
2021-10-31,England,E92000001,7311,860,28900,150,813088,59,53170,6972,20781,200373,743488,1147,38315755,31479
2021-10-30,England,E92000001,7155,741,27681,131,554859,138,62267,4887,21992,286509,359279,802,38304291,36204
2021-10-29,England,E92000001,7113,840,33258,129,669237,148,64733,5490,26801,318376,445657,967,38281812,36853
2021-10-28,England,E92000001,7019,888,34351,153,704594,124,65816,5800,27351,316565,492160,1200,38262637,33903
2021-10-27,England,E92000001,6951,955,35767,130,731232,169,77196,6700,27864,327483,525991,1203,38243051,37502
2021-10-26,England,E92000001,6883,911,34547,129,654086,208,78650,6302,27193,325299,443645,1052,38224311,32280
2021-10-25,England,E92000001,6801,865,39125,112,658297,34,70378,6790,31162,201368,570568,1173,38204812,33309
2021-10-24,England,E92000001,6515,829,29486,120,682236,34,57416,6602,21833,291623,498038,1051,38186561,33221
2021-10-23,England,E92000001,6386,756,29174,130,591601,125,64713,5536,22725,322218,364170,913,38172423,41259
2021-10-22,England,E92000001,6405,760,33801,102,750884,143,72661,5789,27000,377017,478360,1012,38144896,41745
2021-10-21,England,E92000001,6366,799,37791,111,836716,66,74929,6585,29918,366879,590418,1288,38122473,44363
2021-10-20,England,E92000001,6299,903,43115,117,930840,134,76009,8465,33385,382797,688590,1265,38100446,41498
2021-10-19,England,E92000001,6099,894,43690,103,714638,189,83352,7951,34546,347585,493421,1193,38078745,36712
2021-10-18,England,E92000001,5938,896,48243,95,779275,22,73023,8709,38270,218106,687411,1264,38057604,39473
2021-10-17,England,E92000001,5623,828,36772,103,839611,41,57579,10049,25538,275463,698308,1185,38036936,38543
2021-10-16,England,E92000001,5385,743,31037,96,628141,123,62596,6330,23839,373198,349410,868,38022391,39624
2021-10-15,England,E92000001,5363,752,35915,105,753607,94,71797,5927,29139,397239,460236,849,37991951,37691
2021-10-14,England,E92000001,5289,730,38464,110,832860,110,62252,6630,30764,343887,599598,1070,37966571,38488
2021-10-13,England,E92000001,5246,752,39762,89,881160,101,77296,7670,31128,348980,679444,964,37943082,36458
2021-10-12,England,E92000001,5213,760,40064,85,715991,147,83690,6980,32173,359188,482847,911,37918254,33287
2021-10-11,England,E92000001,5206,685,42279,90,809781,15,73334,7521,33659,238996,699793,1099,37895807,32349
2021-10-10,England,E92000001,5077,606,30922,70,819912,34,59418,8449,21358,250852,711478,1115,37875457,31096
2021-10-09,England,E92000001,4921,613,26601,90,593564,111,61009,4869,21039,347096,338242,693,37859814,31259
2021-10-08,England,E92000001,4975,619,29268,90,725465,109,71546,4680,23799,380689,447964,789,37830063,32157
2021-10-07,England,E92000001,4962,634,31568,90,824241,71,67285,5236,25390,343860,596541,942,37805057,33305
2021-10-06,England,E92000001,5009,632,31915,74,882679,99,75640,6040,24979,343882,684878,896,37780849,33450
2021-10-05,England,E92000001,5006,658,31592,86,693419,140,78194,5206,25610,346256,466963,776,37756714,28846
2021-10-04,England,E92000001,4909,627,35791,80,814888,13,66433,6293,28584,239716,697419,914,37732461,28251
2021-10-03,England,E92000001,4778,577,26629,75,870621,30,54031,7508,18190,261360,747470,931,37707715,25176
2021-10-02,England,E92000001,4652,549,21442,74,585493,103,64154,4222,16666,323203,357196,554,37690213,26794
2021-10-01,England,E92000001,4799,520,23669,98,754970,80,69513,3909,19110,354686,470653,650,37659364,28836
2021-09-30,England,E92000001,4916,552,26248,81,870198,87,61675,4438,20853,364675,616499,957,37629371,29826
2021-09-29,England,E92000001,5017,625,28141,84,929434,111,80308,5271,21791,359018,724228,1079,37599053,29036
2021-09-28,England,E92000001,5126,596,29021,76,685813,141,81953,4795,23284,319615,491536,942,37569146,28808
2021-09-27,England,E92000001,5121,617,33899,77,870485,23,64157,5826,26833,260722,733474,1240,37539476,29329
2021-09-26,England,E92000001,4949,535,26267,68,953390,37,59028,7235,17737,303030,798338,1295,37510886,25538
2021-09-25,England,E92000001,5100,520,22657,91,616688,104,65559,4327,17425,317444,398191,905,37489410,28087
2021-09-24,England,E92000001,5036,557,25219,91,748424,120,70348,4046,20241,353458,504953,932,37446361,28199
2021-09-23,England,E92000001,5214,577,27716,102,888051,131,70864,4619,22055,358918,655053,1042,37406794,29045
2021-09-22,England,E92000001,5406,572,28187,101,771861,121,81906,5314,21722,289850,715610,1151,37365066,27317
2021-09-21,England,E92000001,5543,602,29951,92,699571,174,89212,4839,24076,331878,501967,1036,37325390,24973
2021-09-20,England,E92000001,5727,606,31456,102,833383,27,73433,5728,24580,221693,748235,1148,37286142,26905
2021-09-19,England,E92000001,5695,572,24262,90,971159,34,46458,6931,16155,246345,864383,1176,37244704,22173
2021-09-18,England,E92000001,5688,560,20522,92,574061,131,57411,4003,15814,274337,394308,705,37214246,22956
2021-09-17,England,E92000001,5910,540,21917,122,710754,130,62580,3695,17479,294975,517355,743,37148112,23265
2021-09-16,England,E92000001,6081,672,21734,113,847517,123,76228,3712,17079,320155,662519,943,37092855,22949
2021-09-15,England,E92000001,6306,691,21957,101,928864,151,84684,3803,17259,327910,771939,895,37033914,22078
2021-09-14,England,E92000001,6344,701,22145,118,697906,152,82212,3598,17728,296044,539772,819,36976818,19739
2021-09-13,England,E92000001,6424,688,24635,71,885876,32,69946,4006,19706,199146,845134,923,36920297,21077
2021-09-12,England,E92000001,6253,658,17510,103,901824,42,59097,4336,12247,220006,831430,927,36865490,19913
2021-09-11,England,E92000001,6206,649,16605,103,589719,143,61499,2876,13091,284646,401553,638,36822588,23825
2021-09-10,England,E92000001,6400,680,20526,108,898839,114,68165,3197,16466,289214,771823,863,36736520,26653
2021-09-09,England,E92000001,6254,790,23904,128,1034276,138,70290,3887,18935,310979,913670,1082,36657757,27049
2021-09-08,England,E92000001,6302,900,25063,113,1043840,158,75232,4273,19769,313870,948249,1021,36571165,29286
2021-09-07,England,E92000001,6244,801,27346,125,961333,183,84205,4598,21670,278107,933787,1078,36495617,27545
2021-09-06,England,E92000001,6375,831,32367,121,1175617,28,71735,5354,25816,218554,1239196,1197,36422613,27202
2021-09-05,England,E92000001,6167,691,22975,116,855365,58,57932,4594,17367,242935,746904,1014,36352855,27022
