date,areaName,areaCode,hospitalCases,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPillarTwoTestsByPublishDate,newDeaths28DaysByPublishDate,newPillarOneTestsByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesPCROnlyBySpecimenDate,newPCRTestsByPublishDate,newLFDTests,newCasesLFDOnlyBySpecimenDate,cumPeopleVaccinatedSecondDoseByPublishDate,newCasesByPublishDate,covidOccupiedMVBeds
2023-12-14,England,E92000001,,,,,,,,,,,,,,6065,
2023-12-13,England,E92000001,,,583,,,,,0,114,,,469,42951064,0,
2023-12-12,England,E92000001,,,1040,,,,,0,375,,0,665,42951064,0,
2023-12-11,England,E92000001,,,1183,,,,,2,509,,0,672,42951064,0,
2023-12-10,England,E92000001,,,947,,,,,3,381,,0,563,42951064,0,
2023-12-09,England,E92000001,,,771,,,,,3,350,,0,418,42951064,0,
2023-12-08,England,E92000001,2913,308,882,,,,,3,445,,0,434,42951064,0,
2023-12-07,England,E92000001,2775,364,807,,,,,1,399,,0,407,42951064,5778,
2023-12-06,England,E92000001,2629,455,945,,,,,1,430,,0,514,42951064,0,
2023-12-05,England,E92000001,2576,420,933,,,,,2,457,,0,474,42951064,0,
2023-12-04,England,E92000001,2475,432,950,,,,,4,413,,0,533,42951064,0,
2023-12-03,England,E92000001,2395,380,687,,,,,4,295,,0,388,42951064,0,
2023-12-02,England,E92000001,2388,263,519,,,,,1,252,,0,266,42951064,0,
2023-12-01,England,E92000001,2368,255,538,,,,,2,293,,0,243,42951064,0,
2023-11-30,England,E92000001,2313,306,655,,,,,0,343,,0,312,42951064,4041,
2023-11-29,England,E92000001,2332,324,727,,,,,1,389,,0,337,42951064,0,
2023-11-28,England,E92000001,2331,332,682,,,,,2,353,,0,327,42951064,0,
2023-11-27,England,E92000001,2276,327,685,,,,,1,327,,0,357,42951064,0,
2023-11-26,England,E92000001,2275,302,506,,,,,0,215,,0,291,42951064,0,
2023-11-25,England,E92000001,2238,215,424,,,,,1,217,,0,206,42951064,0,
2023-11-24,England,E92000001,2265,231,545,,,,,2,297,,0,246,42951064,0,
2023-11-23,England,E92000001,2321,283,562,,,,,1,277,,0,284,42951064,4417,
2023-11-22,England,E92000001,2310,291,612,,,,,0,304,,0,308,42951064,0,
2023-11-21,England,E92000001,2373,295,590,,,,,2,290,,0,298,42951064,0,
2023-11-20,England,E92000001,2443,280,695,,,,,1,315,,0,379,42951064,0,
2023-11-19,England,E92000001,2452,281,547,,,,,3,250,,0,294,42951064,0,
2023-11-18,England,E92000001,2475,216,449,,,,,3,210,,0,236,42951064,0,
2023-11-17,England,E92000001,2503,233,510,,,,,2,258,,0,250,42951064,0,
2023-11-16,England,E92000001,2507,282,662,,,,,2,330,,0,330,42951064,2691,
2023-11-15,England,E92000001,2533,316,629,,,,,3,263,,0,363,42951064,0,
2023-11-14,England,E92000001,2550,313,760,,,,,6,358,,0,396,42951064,0,
2023-11-13,England,E92000001,2700,314,739,,,,,4,331,,0,404,42951064,0,
2023-11-12,England,E92000001,2690,303,593,,,,,2,263,,0,328,42951064,0,
2023-11-11,England,E92000001,2703,251,291,,,,,1,193,,0,97,42951064,0,
2023-11-10,England,E92000001,2703,238,275,,,,,1,231,,0,43,42951064,0,
2023-11-09,England,E92000001,2734,351,493,,,,,1,243,,0,249,42951064,5336,
2023-11-08,England,E92000001,2878,338,693,,,,,0,298,,0,395,42951064,0,
2023-11-07,England,E92000001,2945,356,817,,,,,0,354,,0,463,42951064,0,
2023-11-06,England,E92000001,3089,361,780,,,,,1,347,,0,432,42951064,0,
2023-11-05,England,E92000001,3172,362,683,,,,,1,255,,0,427,42951064,0,
2023-11-04,England,E92000001,3136,294,592,,,,,1,258,,0,333,42951064,0,
2023-11-03,England,E92000001,3236,289,734,,,,,2,344,,0,388,42951064,0,
2023-11-02,England,E92000001,3365,379,809,,,,,2,380,,0,427,42951064,7594,
2023-11-01,England,E92000001,3411,378,865,,,,,5,350,,0,510,42951064,0,
2023-10-31,England,E92000001,3473,375,954,,,,,2,380,,0,572,42951064,0,
2023-10-30,England,E92000001,3621,402,1011,,,,,1,435,,0,575,42951064,0,
2023-10-29,England,E92000001,3647,363,847,,,,,4,324,,0,519,42951064,0,
2023-10-28,England,E92000001,3610,320,737,,,,,0,326,,0,411,42951064,0,
