date,areaName,areaCode,hospitalCases,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPillarTwoTestsByPublishDate,newDeaths28DaysByPublishDate,newPillarOneTestsByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesPCROnlyBySpecimenDate,newPCRTestsByPublishDate,newLFDTests,newCasesLFDOnlyBySpecimenDate,cumPeopleVaccinatedSecondDoseByPublishDate,newCasesByPublishDate,covidOccupiedMVBeds
2023-11-22,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-21,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-20,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-19,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-18,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-17,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-16,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-15,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-14,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-13,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-12,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-11,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-10,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-09,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-08,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-07,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-06,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-05,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-04,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-03,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-02,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-11-01,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-31,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-30,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-29,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-28,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-27,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-26,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-25,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-24,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-23,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-22,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-21,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-20,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-19,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-18,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-17,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-16,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-15,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-14,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-13,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-12,Scotland,S92000003,,,,,,,,,,,,,,1179,
2023-10-11,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-10,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-09,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-08,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-07,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-06,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-05,Scotland,S92000003,,,,,,,,,,,,,,1189,
2023-10-04,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-03,Scotland,S92000003,,,,,,,,,,,,,,0,
2023-10-02,Scotland,S92000003,329,,,,,,,,,,,,,0,
2023-10-01,Scotland,S92000003,328,,156,,0,,468,1,70,468,0,85,,0,
2023-09-30,Scotland,S92000003,338,,134,,0,,465,0,62,465,0,72,,0,
2023-09-29,Scotland,S92000003,316,,163,,0,,757,0,90,757,0,73,,0,
2023-09-28,Scotland,S92000003,336,,166,,0,,776,0,87,776,0,79,,1135,
2023-09-27,Scotland,S92000003,335,,166,,64,,703,0,79,767,0,87,,0,
2023-09-26,Scotland,S92000003,323,,207,,0,,783,0,96,783,0,111,,0,
2023-09-25,Scotland,S92000003,301,,175,,0,,669,1,80,669,0,94,,0,
2023-09-24,Scotland,S92000003,322,,151,,0,,532,0,51,532,0,100,,0,
2023-09-23,Scotland,S92000003,322,,133,,0,,429,1,42,429,0,90,,0,
2023-09-22,Scotland,S92000003,346,,156,,0,,666,0,73,666,0,83,,0,
2023-09-21,Scotland,S92000003,360,,144,,0,,663,0,72,663,0,72,,1070,
2023-09-20,Scotland,S92000003,339,,171,,0,,764,0,80,764,0,91,,0,
2023-09-19,Scotland,S92000003,337,,203,,1,,785,0,95,786,0,108,,0,
2023-09-18,Scotland,S92000003,367,,179,,0,,778,2,70,778,0,107,,0,
2023-09-17,Scotland,S92000003,370,,128,,0,,481,0,53,481,0,75,,0,
2023-09-16,Scotland,S92000003,370,,89,,0,,422,1,43,422,0,45,,0,
2023-09-15,Scotland,S92000003,377,,165,,0,,692,0,77,692,0,88,,0,
2023-09-14,Scotland,S92000003,393,,133,,0,,668,0,66,668,0,67,,1551,
2023-09-13,Scotland,S92000003,440,,151,,0,,666,0,67,666,0,84,,0,
2023-09-12,Scotland,S92000003,424,,174,,0,,722,2,66,722,0,106,,0,
2023-09-11,Scotland,S92000003,420,,237,,0,,816,0,105,816,0,132,,0,
2023-09-10,Scotland,S92000003,419,,153,,0,,471,0,46,471,0,107,,0,
2023-09-09,Scotland,S92000003,428,,162,,0,,540,0,61,540,0,101,,0,
2023-09-08,Scotland,S92000003,435,,184,,0,,697,3,96,697,0,85,,0,
2023-09-07,Scotland,S92000003,428,,223,,0,,702,3,83,702,0,137,,1643,
2023-09-06,Scotland,S92000003,413,,240,,3,,734,0,97,737,0,143,,0,
2023-09-05,Scotland,S92000003,383,,284,,0,,710,0,103,710,0,181,,0,
2023-09-04,Scotland,S92000003,364,,280,,0,,868,2,119,868,0,159,,0,
2023-09-03,Scotland,S92000003,376,,250,,0,,464,1,77,464,0,172,,0,
2023-09-02,Scotland,S92000003,373,,205,,0,,459,2,57,459,0,146,,0,
2023-09-01,Scotland,S92000003,361,,217,,0,,660,2,96,660,0,119,,0,
2023-08-31,Scotland,S92000003,335,,260,,1,,687,1,107,688,0,152,,1360,
2023-08-30,Scotland,S92000003,321,,278,,0,,701,2,118,701,0,158,,0,
2023-08-29,Scotland,S92000003,327,,223,,231,,687,0,91,918,0,132,,0,
2023-08-28,Scotland,S92000003,305,,220,,2,,726,2,81,728,0,137,,0,
2023-08-27,Scotland,S92000003,317,,175,,0,,495,0,54,495,0,121,,0,
2023-08-26,Scotland,S92000003,335,,149,,2,,432,0,59,434,0,90,,0,
2023-08-25,Scotland,S92000003,327,,191,,3,,650,1,86,653,0,104,,0,
2023-08-24,Scotland,S92000003,325,,192,,0,,616,3,76,616,0,113,,1206,
2023-08-23,Scotland,S92000003,320,,214,,0,,618,2,71,618,0,141,,0,
2023-08-22,Scotland,S92000003,332,,225,,1,,667,0,84,668,0,141,,0,
2023-08-21,Scotland,S92000003,323,,220,,0,,729,1,98,729,0,121,,0,
2023-08-20,Scotland,S92000003,319,,175,,1,,435,0,49,436,0,126,,0,
2023-08-19,Scotland,S92000003,315,,147,,0,,449,1,63,449,0,83,,0,
2023-08-18,Scotland,S92000003,326,,149,,1,,561,1,54,562,0,94,,0,
2023-08-17,Scotland,S92000003,339,,179,,2,,596,0,73,598,0,106,,955,
2023-08-16,Scotland,S92000003,313,,194,,0,,598,1,89,598,0,104,,0,
2023-08-15,Scotland,S92000003,276,,179,,0,,654,0,90,654,0,89,,0,
