date,areaName,areaCode,hospitalCases,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPillarTwoTestsByPublishDate,newDeaths28DaysByPublishDate,newPillarOneTestsByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesPCROnlyBySpecimenDate,newPCRTestsByPublishDate,newLFDTests,newCasesLFDOnlyBySpecimenDate,cumPeopleVaccinatedSecondDoseByPublishDate,newCasesByPublishDate,covidOccupiedMVBeds
2023-11-23,Wales,W92000004,,,,,,,,,,,,,,969,
2023-11-22,Wales,W92000004,,,0,0,,,,,,,,,,0,
2023-11-21,Wales,W92000004,,,18,0,,,,,,,,,,0,
2023-11-20,Wales,W92000004,,,30,0,,,,,,,,,,0,
2023-11-19,Wales,W92000004,,,25,0,,,,,,,,,,0,
2023-11-18,Wales,W92000004,,,18,0,,,,,,,,,,0,
2023-11-17,Wales,W92000004,,,19,1,,,,,,,,,,0,
2023-11-16,Wales,W92000004,,,17,1,,,,,,,0,,,149,
2023-11-15,Wales,W92000004,,,22,0,,,,,,,,,,0,
2023-11-14,Wales,W92000004,,,27,1,,,,,,,,,,0,
2023-11-13,Wales,W92000004,,,18,1,,,,,,,,,,0,
2023-11-12,Wales,W92000004,,,9,2,,,,,,,,,,0,
2023-11-11,Wales,W92000004,,,14,1,,,,,,,,,,0,
2023-11-10,Wales,W92000004,,,19,3,,,,,,,,,,0,
2023-11-09,Wales,W92000004,,,26,1,,,,,,,0,,,163,
2023-11-08,Wales,W92000004,,,32,2,,,,,,,,,,0,
2023-11-07,Wales,W92000004,,,27,0,,,,,,,,,,0,
2023-11-06,Wales,W92000004,,,32,2,,,,,,,,,,0,
2023-11-05,Wales,W92000004,,,14,1,,,,,,,,,,0,
2023-11-04,Wales,W92000004,,,13,2,,,,,,,,,,0,
2023-11-03,Wales,W92000004,,,30,4,,,,,,,,,,0,
2023-11-02,Wales,W92000004,,,23,2,,,,,,,0,,,241,
2023-11-01,Wales,W92000004,,,27,1,,,,,,,,,,0,
2023-10-31,Wales,W92000004,,,35,3,,,,,,,,,,0,
2023-10-30,Wales,W92000004,,,44,2,,,,,,,,,,0,
2023-10-29,Wales,W92000004,,,24,4,,,,,,,,,,0,
2023-10-28,Wales,W92000004,,,25,1,,,,,,,,,,0,
2023-10-27,Wales,W92000004,,,34,1,,,,,,,,,,0,
2023-10-26,Wales,W92000004,,,35,3,,,,,,,0,,,226,
2023-10-25,Wales,W92000004,,,37,1,,,,,,,,,,0,
2023-10-24,Wales,W92000004,,,48,1,,,,,,,,,,0,
2023-10-23,Wales,W92000004,,,33,1,,,,,,,,,,0,
2023-10-22,Wales,W92000004,,,20,1,,,,,,,,,,0,
2023-10-21,Wales,W92000004,,,17,1,,,,,,,,,,0,
2023-10-20,Wales,W92000004,,,37,2,,,,,,,,,,0,
2023-10-19,Wales,W92000004,,,38,1,,,,,,,0,,,295,
2023-10-18,Wales,W92000004,,,34,0,,,,,,,,,,0,
2023-10-17,Wales,W92000004,,,39,4,,,,,,,,,,0,
2023-10-16,Wales,W92000004,,,39,2,,,,,,,,,,0,
2023-10-15,Wales,W92000004,,,19,2,,,,,,,,,,0,
2023-10-14,Wales,W92000004,,,26,3,,,,,,,,,,0,
2023-10-13,Wales,W92000004,,,60,1,,,,,,,,,,0,
2023-10-12,Wales,W92000004,,,43,0,,,,,,,0,,,384,
2023-10-11,Wales,W92000004,,,59,1,,,,,,,,,,0,
2023-10-10,Wales,W92000004,,,61,0,,,,,,,,,,0,
2023-10-09,Wales,W92000004,,,78,3,,,,,,,,,,0,
2023-10-08,Wales,W92000004,,,45,4,,,,,,,,,,0,
2023-10-07,Wales,W92000004,,,31,2,,,,,,,,,,0,
2023-10-06,Wales,W92000004,,,62,1,,,,,,,,,,0,
2023-10-05,Wales,W92000004,,,50,0,,,,,,,0,,,390,
2023-10-04,Wales,W92000004,,,58,1,,,,,,,,,,0,
2023-10-03,Wales,W92000004,,,76,0,,,,,,,,,,0,
2023-10-02,Wales,W92000004,,,73,1,,,,,,,,,,0,
