date,areaName,areaCode,vaccinationsAgeDemographics
2023-06-29,Northern Ireland,N92000002,"[{'age': '50+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 442337.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 108948.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 65.322, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 16.089}, {'age': '50-59', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 111437.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 3690.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 43.422, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 1.438}, {'age': '60-69', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 139013.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 6201.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 71.042, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 3.169}, {'age': '70-79', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 120215.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 44539.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 83.906, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 31.087}, {'age': '75+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 191887.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 99057.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 85.34, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 44.055}, {'age': '80+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 71672.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 54518.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 87.857, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 66.829}]"
2023-06-28,Northern Ireland,N92000002,"[{'age': '50+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 442337.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 108948.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 120.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 65.322, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 16.089}, {'age': '50-59', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 111437.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 3690.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 1.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 43.422, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 1.438}, {'age': '60-69', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 139013.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 6201.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 9.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 71.042, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 3.169}, {'age': '70-79', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 120215.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 44539.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 57.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 83.906, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 31.087}, {'age': '75+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 191887.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 99057.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 110.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 85.34, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 44.055}, {'age': '80+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 71672.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 54518.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 53.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 87.857, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 66.829}]"
2023-06-27,Northern Ireland,N92000002,"[{'age': '50+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 442337.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 108828.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 174.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 65.322, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 16.071}, {'age': '50-59', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 111437.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 3689.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 3.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 43.422, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 1.437}, {'age': '60-69', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 139013.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 6192.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 12.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 71.042, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 3.164}, {'age': '70-79', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 120215.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 44482.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 78.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 83.906, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 31.047}, {'age': '75+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 191887.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 98947.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 159.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 85.34, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 44.006}, {'age': '80+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 71672.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 54465.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 81.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 87.857, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 66.764}]"
2023-06-26,Northern Ireland,N92000002,"[{'age': '50+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 442337.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 108654.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 103.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 65.322, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 16.045}, {'age': '50-59', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 111437.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 3686.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 7.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 43.422, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 1.436}, {'age': '60-69', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 139013.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 6180.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 4.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 71.042, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 3.158}, {'age': '70-79', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 120215.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 44404.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 42.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 83.906, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 30.993}, {'age': '75+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 191887.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 98788.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 92.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 85.34, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 43.935}, {'age': '80+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 71672.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 54384.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 50.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 87.857, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 66.665}]"
2023-06-25,Northern Ireland,N92000002,"[{'age': '50+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 442337.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 108551.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 65.322, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 16.03}, {'age': '50-59', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 111437.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 3679.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 43.422, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 1.434}, {'age': '60-69', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 139013.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 6176.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 71.042, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 3.156}, {'age': '70-79', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 120215.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 44362.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 83.906, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 30.963}, {'age': '75+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 191887.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 98696.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 85.34, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 43.894}, {'age': '80+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 71672.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 54334.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 0.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 87.857, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 66.604}]"
2023-06-24,Northern Ireland,N92000002,"[{'age': '50+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 442337.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 108551.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 47.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 65.322, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 16.03}, {'age': '50-59', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 111437.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 3679.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 1.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 43.422, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 1.434}, {'age': '60-69', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 139013.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 6176.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 12.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 71.042, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 3.156}, {'age': '70-79', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 120215.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 44362.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 21.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 83.906, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 30.963}, {'age': '75+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 191887.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 98696.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 34.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 85.34, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 43.894}, {'age': '80+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 71672.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 54334.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 13.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 87.857, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 66.604}]"
2023-06-23,Northern Ireland,N92000002,"[{'age': '50+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 442337.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 108504.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 162.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 65.322, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 16.023}, {'age': '50-59', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 111437.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 3678.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 7.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 43.422, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 1.433}, {'age': '60-69', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 139013.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 6164.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 16.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 71.042, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 3.15}, {'age': '70-79', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 120215.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 44341.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 69.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 83.906, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 30.949}, {'age': '75+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 191887.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 98662.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 139.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 85.34, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 43.879}, {'age': '80+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 71672.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 54321.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 70.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 87.857, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 66.588}]"
2023-06-22,Northern Ireland,N92000002,"[{'age': '50+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 442337.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 108342.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 158.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 65.322, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 15.999}, {'age': '50-59', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 111437.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 3671.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 9.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 43.422, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 1.43}, {'age': '60-69', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 139013.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 6148.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 18.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 71.042, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 3.142}, {'age': '70-79', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 120215.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 44272.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 55.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 83.906, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 30.9}, {'age': '75+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 191887.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 98523.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 131.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 85.34, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 43.817}, {'age': '80+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 71672.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 54251.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 76.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 87.857, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 66.502}]"
2023-06-21,Northern Ireland,N92000002,"[{'age': '50+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 442337.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 108184.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 239.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 65.322, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 15.976}, {'age': '50-59', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 111437.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 3662.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 12.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 43.422, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 1.427}, {'age': '60-69', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 139013.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 6130.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 23.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 71.042, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 3.133}, {'age': '70-79', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 120215.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 44217.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 97.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 83.906, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 30.862}, {'age': '75+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 191887.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 98392.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 204.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 85.34, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 43.759}, {'age': '80+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 71672.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 54175.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 107.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 87.857, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 66.409}]"
2023-06-20,Northern Ireland,N92000002,"[{'age': '50+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 442337.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 107945.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 305.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 65.322, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 15.941}, {'age': '50-59', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 111437.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 3650.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 21.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 43.422, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 1.422}, {'age': '60-69', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 139013.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 6107.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 34.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 71.042, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 3.121}, {'age': '70-79', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 120215.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 44120.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 120.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 83.906, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 30.794}, {'age': '75+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 191887.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 98188.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 250.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 85.34, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 43.668}, {'age': '80+', 'cumPeopleVaccinatedAutumn22ByVaccinationDate': 71672.0, 'cumPeopleVaccinatedSpring23ByVaccinationDate': 54068.0, 'newPeopleVaccinatedAutumn22ByVaccinationDate': 0.0, 'newPeopleVaccinatedSpring23ByVaccinationDate': 130.0, 'cumVaccinationAutumn22UptakeByVaccinationDatePercentage': 87.857, 'cumVaccinationSpring23UptakeByVaccinationDatePercentage': 66.278}]"
