,Dates,age,4th Dose,1st Dose,2nd Dose,3rd Dose,daily_doses
0,2022-03-09,05-11,0,0,0,0,0
1,2022-03-09,12-15,9,1628718,817500,6354,0
2,2022-03-09,16-17,348,923642,694414,138866,0
3,2022-03-09,18-24,2235,3712053,3372697,1879857,0
4,2022-03-09,25-29,2475,3012135,2793283,1674643,0
5,2022-03-09,30-34,3509,3309667,3109125,2010565,0
6,2022-03-09,35-39,4588,3305201,3150784,2211913,0
7,2022-03-09,40-44,6101,3238952,3124229,2379481,0
8,2022-03-09,45-49,8602,3283234,3196755,2602629,0
9,2022-03-09,50-54,13221,3682134,3609238,3123916,0
10,2022-03-09,55-59,18171,3677583,3618884,3244766,0
11,2022-03-09,60-64,22774,3197707,3154976,2910602,0
12,2022-03-09,65-69,28634,2719764,2687929,2536719,0
13,2022-03-09,70-74,39513,2740349,2710721,2591742,0
14,2022-03-09,75-79,37055,2109067,2082509,1984703,0
15,2022-03-09,80+,43092,2910132,2830933,2580909,0
16,2022-03-10,05-11,0,0,0,0,0
17,2022-03-10,12-15,9,1629941,823426,6498,0
18,2022-03-10,16-17,351,923968,695495,140960,3
19,2022-03-10,18-24,2262,3712589,3373996,1882762,27
20,2022-03-10,25-29,2492,3012410,2794149,1676618,17
21,2022-03-10,30-34,3545,3309857,3109872,2012365,36
22,2022-03-10,35-39,4630,3305321,3151269,2213496,42
23,2022-03-10,40-44,6164,3239035,3124580,2380621,63
24,2022-03-10,45-49,8680,3283286,3196992,2603595,78
25,2022-03-10,50-54,13328,3682163,3609417,3124633,107
26,2022-03-10,55-59,18349,3677605,3619012,3245380,178
27,2022-03-10,60-64,22971,3197711,3155049,2910990,197
28,2022-03-10,65-69,28855,2719753,2687970,2536982,221
29,2022-03-10,70-74,39846,2740329,2710759,2591958,333
30,2022-03-10,75-79,37406,2109066,2082522,1984837,351
31,2022-03-10,80+,43579,2910139,2830954,2581141,487
32,2022-03-11,05-11,0,0,0,0,0
33,2022-03-11,12-15,9,1631108,829401,6619,0
34,2022-03-11,16-17,361,924334,696810,143933,10
35,2022-03-11,18-24,2281,3713079,3375387,1885657,19
36,2022-03-11,25-29,2511,3012726,2795178,1678675,19
37,2022-03-11,30-34,3581,3310094,3110743,2014339,36
38,2022-03-11,35-39,4672,3305511,3151913,2215202,42
39,2022-03-11,40-44,6237,3239106,3125003,2381938,73
40,2022-03-11,45-49,8764,3283360,3197288,2604597,84
41,2022-03-11,50-54,13456,3682180,3609617,3125475,128
42,2022-03-11,55-59,18506,3677640,3619136,3246081,157
43,2022-03-11,60-64,23160,3197723,3155118,2911401,189
44,2022-03-11,65-69,29101,2719747,2688029,2537212,246
45,2022-03-11,70-74,40163,2740306,2710780,2592214,317
46,2022-03-11,75-79,37720,2109062,2082546,1984988,314
47,2022-03-11,80+,44070,2910142,2830979,2581380,491
48,2022-03-12,05-11,0,0,0,0,0
49,2022-03-12,12-15,10,1632721,838736,6939,1
50,2022-03-12,16-17,366,924796,698574,148936,5
51,2022-03-12,18-24,2305,3713846,3377096,1888864,24
52,2022-03-12,25-29,2540,3013178,2796368,1681043,29
53,2022-03-12,30-34,3623,3310443,3111733,2016547,42
54,2022-03-12,35-39,4723,3305785,3152637,2217120,51
55,2022-03-12,40-44,6307,3239246,3125436,2383450,70
56,2022-03-12,45-49,8872,3283462,3197592,2605769,108
57,2022-03-12,50-54,13591,3682253,3609831,3126310,135
58,2022-03-12,55-59,18680,3677688,3619277,3246732,174
59,2022-03-12,60-64,23362,3197753,3155209,2911758,202
60,2022-03-12,65-69,29347,2719769,2688082,2537419,246
61,2022-03-12,70-74,40454,2740312,2710800,2592365,291
62,2022-03-12,75-79,38024,2109070,2082560,1985076,304
63,2022-03-12,80+,44490,2910150,2830990,2581519,420
64,2022-03-13,05-11,0,0,0,0,0
65,2022-03-13,12-15,10,1633534,843793,7086,0
66,2022-03-13,16-17,367,925026,699594,151809,1
67,2022-03-13,18-24,2320,3714160,3377848,1890531,15
68,2022-03-13,25-29,2557,3013373,2796939,1682219,17
69,2022-03-13,30-34,3638,3310610,3112204,2017621,15
70,2022-03-13,35-39,4735,3305899,3152954,2218051,12
71,2022-03-13,40-44,6348,3239309,3125632,2384146,41
72,2022-03-13,45-49,8919,3283512,3197709,2606411,47
73,2022-03-13,50-54,13654,3682291,3609924,3126698,63
74,2022-03-13,55-59,18777,3677707,3619333,3247009,97
75,2022-03-13,60-64,23467,3197767,3155249,2911922,105
76,2022-03-13,65-69,29429,2719781,2688094,2537511,82
77,2022-03-13,70-74,40573,2740316,2710806,2592434,119
78,2022-03-13,75-79,38137,2109076,2082572,1985103,113
79,2022-03-13,80+,44679,2910152,2830999,2581565,189
80,2022-03-14,05-11,0,0,0,0,0
81,2022-03-14,12-15,10,1634480,848719,7172,0
82,2022-03-14,16-17,369,925301,700758,153950,2
83,2022-03-14,18-24,2333,3714621,3379129,1893175,13
84,2022-03-14,25-29,2580,3013647,2797862,1683959,23
85,2022-03-14,30-34,3672,3310781,3112993,2019268,34
86,2022-03-14,35-39,4777,3306020,3153498,2219433,42
87,2022-03-14,40-44,6393,3239371,3125997,2385217,45
88,2022-03-14,45-49,8974,3283553,3197932,2607292,55
89,2022-03-14,50-54,13764,3682300,3610114,3127360,110
90,2022-03-14,55-59,18907,3677716,3619459,3247548,130
91,2022-03-14,60-64,23592,3197763,3155327,2912298,125
92,2022-03-14,65-69,29584,2719781,2688142,2537733,155
93,2022-03-14,70-74,40785,2740310,2710824,2592653,212
94,2022-03-14,75-79,38345,2109071,2082592,1985225,208
95,2022-03-14,80+,44964,2910152,2831028,2581753,285
96,2022-03-15,05-11,0,0,0,0,0
97,2022-03-15,12-15,11,1635556,854108,7308,1
98,2022-03-15,16-17,372,925653,702126,156358,3
99,2022-03-15,18-24,2350,3715139,3380649,1895840,17
100,2022-03-15,25-29,2608,3013949,2798864,1685925,28
101,2022-03-15,30-34,3699,3311016,3113868,2021045,27
102,2022-03-15,35-39,4818,3306224,3154123,2220974,41
103,2022-03-15,40-44,6454,3239463,3126406,2386400,61
104,2022-03-15,45-49,9050,3283610,3198234,2608274,76
105,2022-03-15,50-54,13851,3682331,3610339,3128060,87
106,2022-03-15,55-59,19040,3677747,3619607,3248054,133
107,2022-03-15,60-64,23760,3197753,3155423,2912680,168
108,2022-03-15,65-69,29765,2719778,2688210,2537981,181
109,2022-03-15,70-74,41050,2740306,2710846,2592858,265
110,2022-03-15,75-79,38596,2109060,2082605,1985354,251
111,2022-03-15,80+,45339,2910159,2831046,2581925,375
112,2022-03-16,05-11,0,0,0,0,0
113,2022-03-16,12-15,13,1636505,859684,7454,2
114,2022-03-16,16-17,379,925988,703623,158968,7
115,2022-03-16,18-24,2362,3715510,3382107,1898816,12
116,2022-03-16,25-29,2630,3014180,2799782,1687832,22
117,2022-03-16,30-34,3719,3311227,3114771,2022744,20
118,2022-03-16,35-39,4864,3306369,3154695,2222389,46
119,2022-03-16,40-44,6519,3239546,3126809,2387526,65
120,2022-03-16,45-49,9125,3283668,3198511,2609147,75
121,2022-03-16,50-54,13969,3682340,3610540,3128782,118
122,2022-03-16,55-59,19188,3677726,3619738,3248584,148
123,2022-03-16,60-64,23916,3197763,3155499,2913040,156
124,2022-03-16,65-69,29945,2719764,2688251,2538197,180
125,2022-03-16,70-74,41342,2740285,2710887,2593085,292
126,2022-03-16,75-79,38891,2109059,2082631,1985478,295
127,2022-03-16,80+,45722,2910152,2831079,2582132,383
128,2022-03-17,05-11,0,0,0,0,0
129,2022-03-17,12-15,13,1637473,865086,7624,0
130,2022-03-17,16-17,383,926233,704942,161275,4
131,2022-03-17,18-24,2379,3715944,3383491,1901329,17
132,2022-03-17,25-29,2654,3014420,2800624,1689648,24
133,2022-03-17,30-34,3753,3311438,3115527,2024317,34
134,2022-03-17,35-39,4893,3306488,3155166,2223752,29
135,2022-03-17,40-44,6562,3239623,3127128,2388581,43
136,2022-03-17,45-49,9191,3283699,3198751,2610062,66
137,2022-03-17,50-54,14059,3682358,3610720,3129418,90
138,2022-03-17,55-59,19320,3677726,3619857,3249076,132
139,2022-03-17,60-64,24084,3197761,3155551,2913409,168
140,2022-03-17,65-69,30132,2719765,2688291,2538445,187
141,2022-03-17,70-74,41625,2740280,2710913,2593312,283
142,2022-03-17,75-79,39157,2109060,2082650,1985611,266
143,2022-03-17,80+,46084,2910153,2831107,2582340,362
144,2022-03-18,05-11,0,0,0,0,0
145,2022-03-18,12-15,14,1638485,870868,7820,1
146,2022-03-18,16-17,383,926520,706401,164060,0
