,Dates,age,4th Dose,daily_doses
0,2022-03-09,12-15,9,0
1,2022-03-09,16-17,348,0
2,2022-03-09,18-24,2235,0
3,2022-03-09,25-29,2475,0
4,2022-03-09,30-34,3509,0
5,2022-03-09,35-39,4588,0
6,2022-03-09,40-44,6101,0
7,2022-03-09,45-49,8602,0
8,2022-03-09,50-54,13221,0
9,2022-03-09,55-59,18171,0
10,2022-03-09,60-64,22774,0
11,2022-03-09,65-69,28634,0
12,2022-03-09,70-74,39513,0
13,2022-03-09,75-79,37055,0
14,2022-03-09,80+,43092,0
15,2022-03-10,12-15,9,0
16,2022-03-10,16-17,351,3
17,2022-03-10,18-24,2262,27
18,2022-03-10,25-29,2492,17
19,2022-03-10,30-34,3545,36
20,2022-03-10,35-39,4630,42
21,2022-03-10,40-44,6164,63
22,2022-03-10,45-49,8680,78
23,2022-03-10,50-54,13328,107
24,2022-03-10,55-59,18349,178
25,2022-03-10,60-64,22971,197
26,2022-03-10,65-69,28855,221
27,2022-03-10,70-74,39846,333
28,2022-03-10,75-79,37406,351
29,2022-03-10,80+,43579,487
30,2022-03-11,12-15,9,0
31,2022-03-11,16-17,361,10
32,2022-03-11,18-24,2281,19
33,2022-03-11,25-29,2511,19
34,2022-03-11,30-34,3581,36
35,2022-03-11,35-39,4672,42
36,2022-03-11,40-44,6237,73
37,2022-03-11,45-49,8764,84
38,2022-03-11,50-54,13456,128
39,2022-03-11,55-59,18506,157
40,2022-03-11,60-64,23160,189
41,2022-03-11,65-69,29101,246
42,2022-03-11,70-74,40163,317
43,2022-03-11,75-79,37720,314
44,2022-03-11,80+,44070,491
45,2022-03-12,12-15,10,1
46,2022-03-12,16-17,366,5
47,2022-03-12,18-24,2305,24
48,2022-03-12,25-29,2540,29
49,2022-03-12,30-34,3623,42
50,2022-03-12,35-39,4723,51
51,2022-03-12,40-44,6307,70
52,2022-03-12,45-49,8872,108
53,2022-03-12,50-54,13591,135
54,2022-03-12,55-59,18680,174
55,2022-03-12,60-64,23362,202
56,2022-03-12,65-69,29347,246
57,2022-03-12,70-74,40454,291
58,2022-03-12,75-79,38024,304
59,2022-03-12,80+,44490,420
60,2022-03-13,12-15,10,0
61,2022-03-13,16-17,367,1
62,2022-03-13,18-24,2320,15
63,2022-03-13,25-29,2557,17
64,2022-03-13,30-34,3638,15
65,2022-03-13,35-39,4735,12
66,2022-03-13,40-44,6348,41
67,2022-03-13,45-49,8919,47
68,2022-03-13,50-54,13654,63
69,2022-03-13,55-59,18777,97
70,2022-03-13,60-64,23467,105
71,2022-03-13,65-69,29429,82
72,2022-03-13,70-74,40573,119
73,2022-03-13,75-79,38137,113
74,2022-03-13,80+,44679,189
75,2022-03-14,12-15,10,0
76,2022-03-14,16-17,369,2
77,2022-03-14,18-24,2333,13
78,2022-03-14,25-29,2580,23
79,2022-03-14,30-34,3672,34
80,2022-03-14,35-39,4777,42
81,2022-03-14,40-44,6393,45
82,2022-03-14,45-49,8974,55
83,2022-03-14,50-54,13764,110
84,2022-03-14,55-59,18907,130
85,2022-03-14,60-64,23592,125
86,2022-03-14,65-69,29584,155
87,2022-03-14,70-74,40785,212
88,2022-03-14,75-79,38345,208
89,2022-03-14,80+,44964,285
90,2022-03-15,12-15,11,1
91,2022-03-15,16-17,372,3
92,2022-03-15,18-24,2350,17
93,2022-03-15,25-29,2608,28
94,2022-03-15,30-34,3699,27
95,2022-03-15,35-39,4818,41
96,2022-03-15,40-44,6454,61
97,2022-03-15,45-49,9050,76
98,2022-03-15,50-54,13851,87
99,2022-03-15,55-59,19040,133
